259,255,4,874724710
259,286,4,874724727
259,298,4,874724754
259,185,4,874724781
259,173,4,874724843
259,772,4,874724882
259,108,4,874724882
259,288,3,874724905
259,928,4,874724937
259,117,4,874724988
259,200,4,874725081
259,405,3,874725120
259,1074,3,874725264
259,176,4,874725386
259,210,4,874725485
259,357,5,874725485
851,687,2,874728168
851,696,3,874728338
851,284,3,874728338
851,295,5,874728370
851,544,4,874728396
851,473,4,874728396
851,290,4,874728430
851,147,4,874728461
851,121,4,874728565
851,717,3,874728598
712,220,5,874729682
712,1040,4,874729682
712,510,2,874729749
712,731,5,874729750
712,417,4,874729750
712,50,4,874729750
712,385,5,874729778
712,623,4,874729778
712,97,5,874729816
712,66,5,874729816
712,79,4,874729850
712,969,4,874729850
712,553,5,874729850
712,96,5,874729850
712,181,5,874729901
712,173,5,874729901
712,172,5,874729901
712,498,3,874729935
712,402,4,874729935
712,739,4,874729935
712,421,4,874729935
712,234,2,874729935
712,42,1,874729935
712,423,3,874729960
712,692,5,874729995
712,99,4,874729995
712,174,5,874729995
712,392,5,874729996
712,812,4,874729996
712,1220,5,874729996
712,82,5,874730031
712,215,3,874730031
712,202,4,874730031
712,61,3,874730031
712,432,4,874730056
712,746,4,874730085
712,69,3,874730085
712,462,3,874730085
712,195,3,874730085
712,776,4,874730155
712,177,2,874730155
712,88,4,874730155
712,1055,4,874730155
712,4,4,874730179
712,785,5,874730206
712,1469,4,874730206
712,238,3,874730206
712,660,4,874730234
712,585,4,874730234
712,365,3,874730234
712,419,3,874730234
712,1503,4,874730235
712,72,4,874730261
712,560,3,874730261
712,71,5,874730261
712,228,3,874730261
712,622,4,874730293
712,73,5,874730293
712,210,5,874730293
712,662,5,874730320
712,393,3,874730320
712,141,3,874730320
712,584,4,874730342
712,732,5,874730370
712,949,4,874730370
712,378,4,874730370
712,716,5,874730370
712,196,4,874730396
712,191,3,874730396
712,83,4,874730396
712,59,2,874730420
712,136,1,874730443
712,404,3,874730467
712,655,5,874730467
